Data,CDS
01.10.2025,"135,13"
30.09.2025,"135,81"
29.09.2025,"136,14"
26.09.2025,"137,8"
25.09.2025,"137,17"
24.09.2025,"134,67"
23.09.2025,"134,82"
22.09.2025,"136,82"
19.09.2025,"126,22"
18.09.2025,"125,89"
17.09.2025,"126,39"
16.09.2025,"128,36"
15.09.2025,"130,02"
12.09.2025,"132,52"
11.09.2025,"129,19"
10.09.2025,"133,67"
09.09.2025,"137,83"
08.09.2025,"136,81"
05.09.2025,"136,64"
04.09.2025,"136,81"
03.09.2025,"137,97"
02.09.2025,"139,48"
01.09.2025,"136,66"
29.08.2025,"136,82"
28.08.2025,"135,47"
27.08.2025,"138,91"
26.08.2025,"139,88"
25.08.2025,"138,95"
22.08.2025,"138,33"
21.08.2025,"141,43"
20.08.2025,"141,84"
19.08.2025,"138,89"
18.08.2025,"137,95"
15.08.2025,"136,45"
14.08.2025,"136,48"
13.08.2025,"133,94"
12.08.2025,"136,92"
11.08.2025,"138,41"
08.08.2025,"141,41"
07.08.2025,"144,83"
06.08.2025,"149,26"
05.08.2025,"150,75"
04.08.2025,"149,26"
01.08.2025,"151,97"
31.07.2025,"147,75"
30.07.2025,"150,26"
29.07.2025,"149,21"
28.07.2025,"147,26"
25.07.2025,"147,28"
24.07.2025,"144,83"
23.07.2025,"147,32"
22.07.2025,"147,23"
21.07.2025,"145,76"
18.07.2025,"145,75"
17.07.2025,"147,78"
16.07.2025,"150,15"
15.07.2025,"147,82"
14.07.2025,"147,76"
11.07.2025,"147,78"
10.07.2025,"147,76"
09.07.2025,"141,3"
08.07.2025,"144,81"
07.07.2025,"143,81"
04.07.2025,"139,37"
03.07.2025,"139,43"
02.07.2025,"144,79"
01.07.2025,"145,31"
30.06.2025,"147,7"
27.06.2025,"151,19"
26.06.2025,"152,09"
25.06.2025,"150,7"
24.06.2025,"149,69"
23.06.2025,"155,49"
20.06.2025,"156,55"
19.06.2025,"158,04"
18.06.2025,"156,08"
17.06.2025,"151,6"
16.06.2025,"151,2"
13.06.2025,"152,18"
12.06.2025,"149,62"
11.06.2025,"151,06"
10.06.2025,"154,58"
09.06.2025,"155,51"
06.06.2025,"157,24"
05.06.2025,"160,06"
04.06.2025,"156,44"
03.06.2025,"155,1"
02.06.2025,"157,1"
30.05.2025,"160,44"
29.05.2025,"161,39"
28.05.2025,"163,03"
27.05.2025,"162,94"
26.05.2025,"168,86"
23.05.2025,"168,78"
22.05.2025,"167,82"
21.05.2025,"164,99"
20.05.2025,"161,49"
19.05.2025,"165,37"
16.05.2025,"164,93"
15.05.2025,"164,77"
14.05.2025,"162,5"
13.05.2025,"161,97"
12.05.2025,"163,1"
09.05.2025,"177,07"
08.05.2025,"177,84"
07.05.2025,"177,63"
06.05.2025,"179,98"
05.05.2025,"179,57"
02.05.2025,"179,77"
01.05.2025,"182,1"
30.04.2025,"181,91"
