Data,Taxa de cambio - Livre - Dolar americano (venda) - diario - u.m.c./US$
01/10/2020,"5,6441"
02/10/2020,"5,6464"
05/10/2020,"5,6299"
06/10/2020,"5,5205"
07/10/2020,"5,6018"
08/10/2020,"5,62"
09/10/2020,"5,5393"
13/10/2020,"5,5859"
14/10/2020,"5,5675"
15/10/2020,"5,6172"
16/10/2020,"5,6226"
19/10/2020,"5,6023"
20/10/2020,"5,583"
21/10/2020,"5,6006"
22/10/2020,"5,582"
23/10/2020,"5,612"
26/10/2020,"5,6328"
27/10/2020,"5,6491"
28/10/2020,"5,7325"
29/10/2020,"5,7803"
30/10/2020,"5,7718"
03/11/2020,"5,6895"
04/11/2020,"5,6932"
05/11/2020,"5,5624"
06/11/2020,"5,5313"
09/11/2020,"5,2821"
10/11/2020,"5,3696"
11/11/2020,"5,402"
12/11/2020,"5,4094"
13/11/2020,"5,4854"
16/11/2020,"5,4198"
17/11/2020,"5,3968"
18/11/2020,"5,2932"
19/11/2020,"5,333"
20/11/2020,"5,3505"
23/11/2020,"5,3828"
24/11/2020,"5,4037"
25/11/2020,"5,3508"
26/11/2020,"5,3201"
27/11/2020,"5,3494"
30/11/2020,"5,3317"
01/12/2020,"5,2789"
02/12/2020,"5,2267"
03/12/2020,"5,1625"
04/12/2020,"5,1706"
07/12/2020,"5,1018"
08/12/2020,"5,092"
09/12/2020,"5,1109"
10/12/2020,"5,0852"
11/12/2020,"5,0691"
14/12/2020,"5,0578"
15/12/2020,"5,0968"
16/12/2020,"5,1057"
17/12/2020,"5,0612"
18/12/2020,"5,0986"
21/12/2020,"5,1572"
22/12/2020,"5,1473"
23/12/2020,"5,174"
24/12/2020,"5,18"
28/12/2020,"5,239"
29/12/2020,"5,1942"
30/12/2020,"5,1967"
31/12/2020,"5,1967"
04/01/2021,"5,1626"
05/01/2021,"5,3269"
06/01/2021,"5,3182"
07/01/2021,"5,3433"
08/01/2021,"5,3683"
11/01/2021,"5,4966"
12/01/2021,"5,4637"
13/01/2021,"5,307"
14/01/2021,"5,2617"
15/01/2021,"5,2714"
18/01/2021,"5,2788"
19/01/2021,"5,2945"
20/01/2021,"5,3033"
21/01/2021,"5,3166"
22/01/2021,"5,4301"
25/01/2021,"5,5089"
26/01/2021,"5,3865"
27/01/2021,"5,3824"
28/01/2021,"5,4282"
29/01/2021,"5,4759"
01/02/2021,"5,4608"
02/02/2021,"5,3875"
03/02/2021,"5,3423"
04/02/2021,"5,391"
05/02/2021,"5,3884"
08/02/2021,"5,367"
09/02/2021,"5,4216"
10/02/2021,"5,4024"
11/02/2021,"5,3626"
12/02/2021,"5,3815"
17/02/2021,"5,4138"
18/02/2021,"5,4238"
19/02/2021,"5,3924"
22/02/2021,"5,5044"
23/02/2021,"5,449"
24/02/2021,"5,4182"
25/02/2021,"5,46"
26/02/2021,"5,5302"
01/03/2021,"5,5832"
02/03/2021,"5,6844"
03/03/2021,"5,7342"
04/03/2021,"5,6008"
05/03/2021,"5,687"
08/03/2021,"5,7343"
09/03/2021,"5,8397"
10/03/2021,"5,7449"
11/03/2021,"5,589"
12/03/2021,"5,564"
15/03/2021,"5,6296"
16/03/2021,"5,5851"
17/03/2021,"5,6579"
18/03/2021,"5,5474"
19/03/2021,"5,5082"
22/03/2021,"5,5269"
23/03/2021,"5,4951"
24/03/2021,"5,533"
25/03/2021,"5,6585"
26/03/2021,"5,7042"
29/03/2021,"5,7925"
30/03/2021,"5,7642"
31/03/2021,"5,6973"
01/04/2021,"5,6849"
05/04/2021,"5,6579"
06/04/2021,"5,6263"
07/04/2021,"5,5864"
08/04/2021,"5,5817"
